127.0.0.1 - - [15/Dec/2019:10:47:43 +0100] "GET /tv/map HTTP/1.1" 500 2708
127.0.0.1 - - [15/Dec/2019:10:50:12 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [15/Dec/2019:10:50:12 +0100] "GET /tv/servlet/servlets.CandidateServlet HTTP/1.1" 404 1040
127.0.0.1 - - [15/Dec/2019:10:50:24 +0100] "GET /tv HTTP/1.1" 302 -
127.0.0.1 - - [15/Dec/2019:10:50:24 +0100] "GET /tv/ HTTP/1.1" 200 1049
127.0.0.1 - - [15/Dec/2019:10:50:24 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:10:50:24 +0100] "GET /tv/common/styleMap.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:10:50:24 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:10:50:24 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:10:50:25 +0100] "GET /tv/pictures/home.gif HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:10:50:25 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:10:50:25 +0100] "GET /tv/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:34 +0100] "GET /tv/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:34 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:34 +0100] "GET /tv/common/styleMap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:34 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:34 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:34 +0100] "GET /tv/pictures/home.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:35 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:10:50:35 +0100] "GET /tv/common/footer.html HTTP/1.1" 304 -
