127.0.0.1 - - [17/Dec/2019:09:53:13 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/ HTTP/1.1" 200 1049
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 3416
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/common/styleMap.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/pictures/home.gif HTTP/1.1" 304 -
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
127.0.0.1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/candidate HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:14 +0100] "GET /tv/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:20 +0100] "GET /tv/candidate HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:20 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 3416
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:20 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:20 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:20 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:20 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:44 +0100] "GET /tv/candidate HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [17/Dec/2019:09:53:44 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [17/Dec/2019:18:59:09 +0100] "GET /tv/candidate HTTP/1.1" 200 2584
127.0.0.1 - - [17/Dec/2019:18:59:09 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 3416
127.0.0.1 - - [17/Dec/2019:18:59:09 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 200 191
127.0.0.1 - - [17/Dec/2019:18:59:09 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 200 974
127.0.0.1 - - [17/Dec/2019:18:59:11 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
127.0.0.1 - - [17/Dec/2019:18:59:11 +0100] "GET /tv/common/footer.html HTTP/1.1" 200 109
