127.0.0.1 - - [07/Feb/2020:14:45:53 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/ HTTP/1.1" 200 1049
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/common/styleMap.css HTTP/1.1" 200 2873
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 7006
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 200 974
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 200 191
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/pictures/home.gif HTTP/1.1" 200 1833218
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
127.0.0.1 - - [07/Feb/2020:14:45:54 +0100] "GET /tv/common/footer.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:46:08 +0100] "POST /tv/candidate HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:46:08 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:46:08 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1670
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:46:08 +0100] "GET /tv/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:51:07 +0100] "POST /tv/candidate HTTP/1.1" 200 6249
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:51:07 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:51:07 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:54:17 +0100] "POST /tv/candidate HTTP/1.1" 200 6249
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:54:17 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:54:17 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:56:46 +0100] "POST /tv/candidate HTTP/1.1" 200 6262
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:56:46 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:56:46 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:59:08 +0100] "POST /tv/candidate HTTP/1.1" 200 6262
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:59:08 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:59:08 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:32:51 +0100] "POST /tv/candidate HTTP/1.1" 200 6315
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:32:51 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:32:51 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:42:02 +0100] "POST /tv/candidate HTTP/1.1" 200 6827
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:42:02 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:42:02 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:47:02 +0100] "POST /tv/candidate HTTP/1.1" 200 6956
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:47:02 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:47:02 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:49:20 +0100] "POST /tv/candidate HTTP/1.1" 200 6953
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:49:21 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:49:50 +0100] "POST /tv/candidate HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:49:50 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:51:56 +0100] "POST /tv/candidate HTTP/1.1" 200 6978
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:51:56 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:15:51:56 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
